paper_id,paper_year,paper_title,claude_formula,claude_tc,claude_pressure_class,claude_pressure_gpa,claude_evidence_type,sclib_formula,sclib_tc,sclib_pressure_class,sclib_pressure_gpa,sclib_evidence_type,formula_similarity,formula_match,tc_delta,tc_match,pressure_class_match,notes
arxiv:1005.0408,2010,Minimal resonator loss for circuit quantum electrodynamics,NbTiN,,ambient,,primary,NbTiN,14.7,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1005.0408,2010,Minimal resonator loss for circuit quantum electrodynamics,Ta,,ambient,,primary,Ta,4.43,unknown,,primary,1.0,True,,False,False,tc disagreement; pressure class disagreement
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,CaKFe4As4,,ambient,,primary,CaKFe4As4,,unknown,,cited,1.0,True,,True,False,pressure class disagreement
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,KFe2As2,,ambient,,cited,CaKFe4As4,,unknown,,cited,0.625,False,,True,False,formula similarity 0.62 below threshold; pressure class disagreement
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,CaFe2As2,,ambient,,cited,CaKFe4As4,,unknown,,cited,0.7059,False,,True,False,formula similarity 0.71 below threshold; pressure class disagreement
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La1-xSmxO0.5F0.5BiS2,5.4,ambient,,primary,LaO0.5F0.5BiS2,2.8,ambient,0.0,cited,0.8235,True,-2.6,True,True,
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,LaO0.5F0.5BiS2,,ambient,,primary,LaO0.5F0.5BiS2,2.8,ambient,0.0,cited,1.0,True,,False,True,tc disagreement
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,SmO0.5F0.5BiS2,6.2,ambient,,theoretical,SmO0.5F0.5BiS2,6.2,ambient,0.0,primary,1.0,True,0.0,True,True,
arxiv:cond-mat/0305649,2003,59Co-NQR study on superconducting NaxCoO2.yH2O,NaxCoO2.yH2O,4.5,ambient,,primary,NaxCoO2.yH2O,4.5,ambient,0.0,,1.0,True,0.0,True,True,
arxiv:1211.1594,2012,Anomalous superconducting state in LiFeAs implied by the $^{75}$As Knight shift measurement,LiFeAs,,ambient,,primary,LiFeAs,18.0,unknown,,cited,1.0,True,,False,False,tc disagreement; pressure class disagreement
