paper_id,paper_year,paper_title,claude_formula,claude_tc,claude_pressure_class,claude_pressure_gpa,claude_family,sclib_formula,sclib_tc,sclib_pressure_class,sclib_pressure_gpa,sclib_family,formula_similarity,formula_match,tc_delta,tc_match,pressure_class_match,family_match,notes
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,CaKFe4As4,,ambient,0.0,iron_based,CaKFe4As4,,unknown,,iron_based,1.0,True,,True,False,True,pressure class disagreement
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,KFe2As2,,ambient,0.0,iron_based,CaKFe4As4,,unknown,,iron_based,0.625,False,,True,False,True,formula similarity 0.62 below threshold; pressure class disagreement
arxiv:1701.04104,2017,$^{57}$Fe Mössbauer study of stoichiometric iron based superconductor CaKFe$_4$As$_4$: a comparison to KFe$_2$As$_2$ and CaFe$_2$As$_2$,CaFe2As2,,ambient,0.0,iron_based,CaKFe4As4,,unknown,,iron_based,0.7059,False,,True,False,True,formula similarity 0.71 below threshold; pressure class disagreement
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La1-xSmxO0.5F0.5BiS2,5.4,ambient,0.0,,LaO0.5F0.5BiS2,2.8,ambient,0.0,,0.8235,True,-2.6,True,True,True,
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La1-xSmxO0.5F0.5BiS2,5.4,ambient,0.0,,LaO0.5F0.5BiS2,2.8,ambient,0.0,,0.8235,True,-2.6,True,True,True,
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,La1-xSmxO0.5F0.5BiS2,5.4,ambient,0.0,,LaO0.5F0.5BiS2,2.8,ambient,0.0,,0.8235,True,-2.6,True,True,True,
arxiv:1410.0061,2014,Enhancement of Superconductivity in La$_{1-x}$Sm$_{x}$O$_{0.5}$F$_{0.5}$BiS$_2$,SmO0.5F0.5BiS2,6.2,ambient,0.0,,SmO0.5F0.5BiS2,6.2,ambient,0.0,,1.0,True,0.0,True,True,True,
arxiv:cond-mat/0305649,2003,59Co-NQR study on superconducting NaxCoO2.yH2O,NaxCoO2·yH2O,4.5,ambient,0.0,,NaxCoO2.yH2O,4.5,ambient,0.0,,0.9167,True,0.0,True,True,True,
arxiv:1211.1594,2012,Anomalous superconducting state in LiFeAs implied by the $^{75}$As Knight shift measurement,LiFeAs,,ambient,0.0,iron_based,LiFeAs,18.0,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:1211.1594,2012,Anomalous superconducting state in LiFeAs implied by the $^{75}$As Knight shift measurement,LiFeAs,,ambient,0.0,iron_based,LiFeAs,18.0,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:0903.0323,2009,Superconductivity induced by doping Pd in SrFe2-xPdxAs2,SrFe2-xPdxAs2,8.7,ambient,0.0,iron_based,SrFe2-xPdxAs2,8.7,unknown,,iron_based,1.0,True,0.0,True,False,True,pressure class disagreement
arxiv:0903.0323,2009,Superconductivity induced by doping Pd in SrFe2-xPdxAs2,SrFe2-xPdxAs2,,ambient,0.0,iron_based,SrFe2-xPdxAs2,8.7,unknown,,iron_based,1.0,True,,False,False,True,tc disagreement; pressure class disagreement
arxiv:cond-mat/9910087,1999,"A study of the superconducting gap in RNi$_2$B$_2$C (R = Y, Lu) single crystals by inelastic light scattering",YNi₂B₂C,,ambient,0.0,,YNi2B2C,15.5,ambient,0.0,,0.7143,False,,False,True,True,formula similarity 0.71 below threshold; tc disagreement
arxiv:cond-mat/9910087,1999,"A study of the superconducting gap in RNi$_2$B$_2$C (R = Y, Lu) single crystals by inelastic light scattering",LuNi₂B₂C,,ambient,0.0,,LuNi2B2C,15.82,ambient,0.0,,0.75,False,,False,True,True,formula similarity 0.75 below threshold; tc disagreement
